"Month","Average monthly temperatures across the world"
"1938-04",15.3
"1938-05",20.8
"1938-06",25.1
"1938-07",27.7
"1938-08",29.4
"1938-09",23.1
"1938-10",20.6
"1938-11",9.4
"1938-12",5.4
"1939-01",7.0
"1939-02",3.5
"1939-03",12.0
"1939-04",15.3
"1939-05",21.9
"1939-06",25.6
"1939-07",29.2
"1939-08",27.9
"1939-09",26.4
"1939-10",19.1
"1939-11",9.6
"1939-12",7.4
"1940-01",?4.3
"1940-02",4.4
"1940-03",10.9
"1940-04",15.3
"1940-05",20.3
"1940-06",24.1
"1940-07",26.8
"1940-08",26.1
"1940-09",22.6
"1940-10",19.4
"1940-11",7.1
"1940-12",5.8
"1941-01",4.9
"1941-02",4.4
"1941-03",7.8
"1941-04",15.8
"1941-05",21.8
"1941-06",24.1
"1941-07",28.0
"1941-08",27.8
"1941-09",23.9
"1941-10",17.6
"1941-11",9.6
"1941-12",6.6
"1942-01",2.8
"1942-02",4.5
"1942-03",10.0
"1942-04",16.8
"1942-05",19.9
"1942-06",25.0
"1942-07",27.8
"1942-08",26.9
"1942-09",21.2
"1942-10",16.5
"1942-11",10.8
"1942-12",4.6
"1943-01",2.8
"1943-02",7.7
"1943-03",7.0
"1943-04",17.8
"1943-05",18.5
"1943-06",26.5
"1943-07",29.4
"1943-08",30.7
"1943-09",23.3
"1943-10",16.0
"1943-11",9.7
"1943-12",2.6
"1944-01",3.8
"1944-02",6.9
"1944-03",8.2
"1944-04",14.4
"1944-05",20.7
"1944-06",26.3
"1944-07",28.0
"1944-08",28.2
"1944-09",22.8
"1944-10",18.0
"1944-11",10.9
"1944-12",2.8
"1945-01",3.9
"1945-02",4.7
"1945-03",12.7
"1945-04",14.1
"1945-05",19.1
"1945-06",23.6
"1945-07",26.4
"1945-08",26.8
"1945-09",22.6
"1945-10",16.4
"1945-11",11.8
"1945-12",1.7
"1946-01",3.7
"1946-02",8.4
"1946-03",13.6
"1946-04",18.3
"1946-05",18.8
"1946-06",24.6
"1946-07",28.7
"1946-08",27.9
"1946-09",22.3
"1946-10",18.0
"1946-11",9.9
"1946-12",7.1
"1947-01",3.1
"1947-02",2.8
"1947-03",7.3
"1947-04",14.4
"1947-05",19.0
"1947-06",24.9
"1947-07",26.3
"1947-08",28.8
"1947-09",25.0
"1947-10",20.7
"1947-11",7.6
"1947-12",5.2
"1948-01",?0.1
"1948-02",3.1
"1948-03",6.6
"1948-04",19.2
"1948-05",20.4
"1948-06",25.6
"1948-07",26.9
"1948-08",26.9
"1948-09",23.8
"1948-10",16.6
"1948-11",8.7
"1948-12",6.0
"1949-01",?1.3
"1949-02",4.1
"1949-03",9.7
"1949-04",14.8
"1949-05",21.3
"1949-06",25.3
"1949-07",27.9
"1949-08",25.8
"1949-09",20.8
"1949-10",16.4
"1949-11",12.4
"1949-12",5.3
"1950-01",3.0
"1950-02",7.4
"1950-03",9.0
"1950-04",14.7
"1950-05",20.2
"1950-06",24.4
"1950-07",24.5
"1950-08",24.6
"1950-09",21.6
"1950-10",19.6
"1950-11",8.2
"1950-12",3.9
"1951-01",3.8
"1951-02",5.3
"1951-03",8.6
"1951-04",13.9
"1951-05",19.6
"1951-06",24.0
"1951-07",27.5
"1951-08",29.0
"1951-09",22.7
"1951-10",16.7
"1951-11",6.3
"1951-12",5.1
"1952-01",6.8
"1952-02",7.6
"1952-03",8.5
"1952-04",13.6
"1952-05",20.2
"1952-06",27.5
"1952-07",27.3
"1952-08",29.4
"1952-09",23.8
"1952-10",15.7
"1952-11",8.9
"1952-12",3.9
"1953-01",6.0
"1953-02",6.6
"1953-03",12.4
"1953-04",13.3
"1953-05",20.1
"1953-06",29.1
"1953-07",26.1
"1953-08",26.1
"1953-09",24.4
"1953-10",17.6
"1953-11",9.8
"1953-12",4.1
"1954-01",3.3
"1954-02",10.7
"1954-03",8.6
"1954-04",18.7
"1954-05",17.2
"1954-06",25.5
"1954-07",30.8
"1954-08",29.9
"1954-09",26.1
"1954-10",17.7
"1954-11",10.9
"1954-12",5.2
"1955-01",3.7
"1955-02",4.3
"1955-03",9.7
"1955-04",17.8
"1955-05",21.4
"1955-06",22.8
"1955-07",28.4
"1955-08",27.1
"1955-09",23.9
"1955-10",16.1
"1955-11",7.2
"1955-12",3.1
"1956-01",2.3
"1956-02",4.8
"1956-03",10.3
"1956-04",14.4
"1956-05",22.6
"1956-06",25.6
"1956-07",28.3
"1956-08",29.1
"1956-09",24.8
"1956-10",19.0
"1956-11",8.4
"1956-12",5.4
"1957-01",0.7
"1957-02",7.4
"1957-03",8.2
"1957-04",13.3
"1957-05",18.7
"1957-06",23.4
"1957-07",28.6
"1957-08",27.0
"1957-09",20.7
"1957-10",14.0
"1957-11",7.6
"1957-12",6.8
"1958-01",4.1
"1958-02",1.9
"1958-03",5.0
"1958-04",13.4
"1958-05",20.8
"1958-06",24.9
"1958-07",26.7
"1958-08",26.6
"1958-09",22.9
"1958-10",16.6
"1958-11",10.8
"1958-12",2.5
"1959-01",0.5
"1959-02",4.4
"1959-03",9.8
"1959-04",14.7
"1959-05",21.3
"1959-06",24.3
"1959-07",25.2
"1959-08",26.7
"1959-09",22.6
"1959-10",14.6
"1959-11",6.4
"1959-12",6.8
"1960-01",2.4
"1960-02",1.4
"1960-03",4.3
"1960-04",16.5
"1960-05",19.1
"1960-06",25.2
"1960-07",25.6
"1960-08",26.3
"1960-09",23.6
"1960-10",18.0
"1960-11",10.8
"1960-12",3.0
"1961-01",2.4
"1961-02",5.9
"1961-03",11.2
"1961-04",15.1
"1961-05",19.8
"1961-06",23.4
"1961-07",26.1
"1961-08",25.8
"1961-09",21.4
"1961-10",17.2
"1961-11",8.1
"1961-12",2.6
"1962-01",0.2
"1962-02",7.3
"1962-03",8.9
"1962-04",14.6
"1962-05",23.5
"1962-06",24.1
"1962-07",27.9
"1962-08",28.0
"1962-09",21.9
"1962-10",18.1
"1962-11",9.7
"1962-12",4.8
"1963-01",?2.1
"1963-02",4.4
"1963-03",12.1
"1963-04",18.2
"1963-05",21.3
"1963-06",25.9
"1963-07",28.4
"1963-08",27.8
"1963-09",23.9
"1963-10",21.7
"1963-11",11.3
"1963-12",0.5
"1964-01",4.5
"1964-02",3.6
"1964-03",8.4
"1964-04",17.8
"1964-05",21.1
"1964-06",25.2
"1964-07",29.6
"1964-08",27.1
"1964-09",22.4
"1964-10",15.7
"1964-11",9.9
"1964-12",3.3
"1965-01",3.8
"1965-02",4.2
"1965-03",4.8
"1965-04",18.6
"1965-05",21.8
"1965-06",25.6
"1965-07",29.2
"1965-08",27.0
"1965-09",23.3
"1965-10",17.1
"1965-11",13.5
"1965-12",9.3
"1966-01",1.0
"1966-02",3.6
"1966-03",11.5
"1966-04",14.3
"1966-05",20.4
"1966-06",25.5
"1966-07",30.2
"1966-08",26.0
"1966-09",21.4
"1966-10",16.0
"1966-11",12.4
"1966-12",3.2
"1967-01",5.4
"1967-02",5.4
"1967-03",13.5
"1967-04",18.6
"1967-05",19.4
"1967-06",25.2
"1967-07",26.5
"1967-08",26.3
"1967-09",21.6
"1967-10",17.0
"1967-11",9.6
"1967-12",4.3
"1968-01",2.5
"1968-02",2.4
"1968-03",10.4
"1968-04",14.5
"1968-05",18.1
"1968-06",23.8
"1968-07",26.6
"1968-08",26.6
"1968-09",21.4
"1968-10",16.7
"1968-11",7.9
"1968-12",3.4
"1969-01",3.8
"1969-02",5.7
"1969-03",5.5
"1969-04",15.8
"1969-05",19.8
"1969-06",23.9
"1969-07",28.8
"1969-08",26.8
"1969-09",22.9
"1969-10",14.2
"1969-11",9.3
"1969-12",4.7
"1970-01",?0.1
"1970-02",5.9
"1970-03",7.2
"1970-04",15.6
"1970-05",20.7
"1970-06",24.6
"1970-07",27.8
"1970-08",28.6
"1970-09",23.9
"1970-10",14.4
"1970-11",7.8
"1970-12",6.6
"1971-01",2.7
"1971-02",3.9
"1971-03",9.5
"1971-04",15.8
"1971-05",19.6
"1971-06",25.9
"1971-07",27.0
"1971-08",25.1
"1971-09",22.9
"1971-10",17.4
"1971-11",9.4
"1971-12",5.6
"1972-01",1.6
"1972-02",5.6
"1972-03",11.9
"1972-04",17.3
"1972-05",19.8
"1972-06",26.1
"1972-07",26.6
"1972-08",26.9
"1972-09",24.3
"1972-10",16.1
"1972-11",6.3
"1972-12",1.3
"1973-01",0.7
"1973-02",4.3
"1973-03",11.4
"1973-04",13.3
"1973-05",19.3
"1973-06",24.0
"1973-07",26.5
"1973-08",26.5
"1973-09",21.4
"1973-10",17.9
"1973-11",11.7
"1973-12",4.1
"1974-01",1.7
"1974-02",6.9
"1974-03",12.6
"1974-04",15.6
"1974-05",21.9
"1974-06",23.4
"1974-07",28.1
"1974-08",25.8
"1974-09",18.6
"1974-10",17.5
"1974-11",9.6
"1974-12",4.2
"1975-01",4.6
"1975-02",2.5
"1975-03",7.8
"1975-04",14.8
"1975-05",19.6
"1975-06",23.9
"1975-07",25.5
"1975-08",26.7
"1975-09",20.1
"1975-10",17.4
"1975-11",10.4
"1975-12",5.4
"1976-01",3.9
"1976-02",11.2
"1976-03",11.3
"1976-04",16.4
"1976-05",17.5
"1976-06",23.8
"1976-07",26.6
"1976-08",27.4
"1976-09",22.5
"1976-10",13.6
"1976-11",6.6
"1976-12",3.8
"1977-01",?1.6
"1977-02",7.7
"1977-03",12.3
"1977-04",16.9
"1977-05",21.1
"1977-06",26.4
"1977-07",28.3
"1977-08",27.0
"1977-09",25.5
"1977-10",17.0
"1977-11",10.5
"1977-12",4.4
"1978-01",?3.2
"1978-02",?1.4
"1978-03",9.5
"1978-04",18.0
"1978-05",20.0
"1978-06",25.1
"1978-07",30.6
"1978-08",28.1
"1978-09",26.5
"1978-10",18.2
"1978-11",10.2
"1978-12",2.7
"1979-01",?3.7
"1979-02",?0.3
"1979-03",10.6
"1979-04",14.5
"1979-05",18.8
"1979-06",24.0
"1979-07",27.2
"1979-08",26.6
"1979-09",22.8
"1979-10",18.7
"1979-11",8.0
"1979-12",6.3
"1980-01",3.4
"1980-02",3.4
"1980-03",7.9
"1980-04",13.7
"1980-05",20.5
"1980-06",27.4
"1980-07",31.3
"1980-08",31.1
"1980-09",24.6
"1980-10",16.1
"1980-11",10.1
"1980-12",5.5
"1981-01",3.2
"1981-02",6.6
"1981-03",11.1
"1981-04",18.7
"1981-05",18.7
"1981-06",25.8
"1981-07",29.0
"1981-08",26.0
"1981-09",23.4
"1981-10",15.6
"1981-11",10.2
"1981-12",3.9
"1982-01",1.8
"1982-02",3.2
"1982-03",11.5
"1982-04",14.2
"1982-05",20.1
"1982-06",22.3
"1982-07",27.2
"1982-08",28.9
"1982-09",23.6
"1982-10",17.1
"1982-11",9.2
"1982-12",6.2
"1983-01",3.7
"1983-02",5.9
"1983-03",9.3
"1983-04",12.2
"1983-05",18.1
"1983-06",23.0
"1983-07",27.6
"1983-08",28.9
"1983-09",23.8
"1983-10",17.1
"1983-11",10.2
"1983-12",?3.4
"1984-01",1.1
"1984-02",7.4
"1984-03",8.0
"1984-04",13.6
"1984-05",20.2
"1984-06",25.9
"1984-07",27.6
"1984-08",28.1
"1984-09",21.9
"1984-10",16.4
"1984-11",9.8
"1984-12",6.1
"1985-01",?0.8
"1985-02",2.9
"1985-03",11.7
"1985-04",17.1
"1985-05",21.1
"1985-06",24.4
"1985-07",27.2
"1985-08",27.4
"1985-09",22.8
"1985-10",16.2
"1985-11",7.8
"1985-12",1.7
"1986-01",6.4
"1986-02",7.1
"1986-03",13.1
"1986-04",17.1
"1986-05",20.6
"1986-06",26.1
"1986-07",29.9
"1986-08",26.7
"1986-09",23.8
"1986-10",16.4
"1986-11",7.1
"1986-12",4.9
"1987-01",1.7
"1987-02",7.7
"1987-03",10.2
"1987-04",16.6
"1987-05",22.6
"1987-06",25.1
"1987-07",26.7
"1987-08",27.9
"1987-09",22.4
"1987-10",15.6
"1987-11",10.3
"1987-12",4.8
"1988-01",1.2
"1988-02",4.6
"1988-03",9.7
"1988-04",14.9
"1988-05",21.3
"1988-06",25.8
"1988-07",27.6
"1988-08",28.2
"1988-09",23.1
"1988-10",15.2
"1988-11",10.7
"1988-12",6.6
"1989-01",6.0
"1989-02",0.6
"1989-03",10.6
"1989-04",17.4
"1989-05",20.8
"1989-06",23.5
"1989-07",26.4
"1989-08",25.7
"1989-09",19.9
"1989-10",17.3
"1989-11",11.2
"1989-12",0.4
"1990-01",7.7
"1990-02",7.8
"1990-03",11.4
"1990-04",15.1
"1990-05",20.3
"1990-06",27.8
"1990-07",27.1
"1990-08",27.6
"1990-09",25.0
"1990-10",16.1
"1990-11",12.7
"1990-12",2.8
"1991-01",1.6
"1991-02",9.4
"1991-03",12.4
"1991-04",16.9
"1991-05",22.4
"1991-06",25.6
"1991-07",27.9
"1991-08",27.3
"1991-09",21.6
"1991-10",17.0
"1991-11",7.2
"1991-12",7.2
"1992-01",5.6
"1992-02",9.9
"1992-03",12.3
"1992-04",16.3
"1992-05",19.2
"1992-06",23.4
"1992-07",27.3
"1992-08",23.8
"1992-09",22.5
"1992-10",16.8
"1992-11",7.7
"1992-12",4.3
"1993-01",2.5
"1993-02",3.8
"1993-03",8.9
"1993-04",13.4
"1993-05",18.9
"1993-06",24.9
"1993-07",28.7
"1993-08",27.9
"1993-09",21.0
"1993-10",13.9
"1993-11",6.8
"1993-12",5.6
"1994-01",2.2
"1994-02",3.0
"1994-03",11.5
"1994-04",15.2
"1994-05",19.3
"1994-06",26.4
"1994-07",26.6
"1994-08",26.5
"1994-09",21.5
"1994-10",17.0
"1994-11",10.1
"1994-12",5.8
"1995-01",3.7
"1995-02",7.2
"1995-03",9.9
"1995-04",13.8
"1995-05",18.0
"1995-06",22.9
"1995-07",27.2
"1995-08",27.5
"1995-09",21.7
"1995-10",16.5
"1995-11",9.7
"1995-12",4.4
"1996-01",2.1
"1996-02",7.0
"1996-03",7.8
"1996-04",14.8
"1996-05",23.2
"1996-06",25.4
"1996-07",27.4
"1996-08",25.6
"1996-09",20.8
"1996-10",16.0
"1996-11",8.0
"1996-12",5.7
"1997-01",3.2
"1997-02",6.6
"1997-03",11.3
"1997-04",12.6
"1997-05",19.3
"1997-06",24.0
"1997-07",27.6
"1997-08",25.9
"1997-09",24.1
"1997-10",16.8
"1997-11",8.1
"1997-12",4.0
"1998-01",4.8
"1998-02",7.6
"1998-03",8.5
"1998-04",14.1
"1998-05",22.5
"1998-06",27.3
"1998-07",31.1
"1998-08",29.4
"1998-09",27.3
"1998-10",17.9
"1998-11",11.8
"1998-12",5.3
"1999-01",4.7
"1999-02",10.3
"1999-03",9.9
"1999-04",16.3
"1999-05",20.0
"1999-06",24.3
"1999-07",27.9
"1999-08",29.3
"1999-09",21.7
"1999-10",17.1
"1999-11",13.8
"1999-12",6.3
"2000-01",4.8
"2000-02",9.5
"2000-03",11.8
"2000-04",15.0
"2000-05",21.6
"2000-06",23.6
"2000-07",27.1
"2000-08",29.7
"2000-09",24.5
"2000-10",17.8
"2000-11",6.2
"2000-12",?0.8
"2001-01",2.3
"2001-02",4.8
"2001-03",8.1
"2001-04",17.5
"2001-05",20.8
"2001-06",24.6
"2001-07",29.8
"2001-08",28.3
"2001-09",21.5
"2001-10",15.6
"2001-11",12.1
"2001-12",5.7
"2002-01",4.5
"2002-02",5.1
"2002-03",7.8
"2002-04",16.1
"2002-05",18.8
"2002-06",24.6
"2002-07",26.6
"2002-08",27.4
"2002-09",23.4
"2002-10",13.5
"2002-11",8.6
"2002-12",5.1
"2003-01",2.7
"2003-02",3.2
"2003-03",9.7
"2003-04",15.6
"2003-05",20.6
"2003-06",23.3
"2003-07",29.0
"2003-08",28.2
"2003-09",20.8
"2003-10",17.5
"2003-11",10.3
"2003-12",6.2
"2004-01",4.4
"2004-02",4.4
"2004-03",12.9
"2004-04",16.2
"2004-05",22.2
"2004-06",24.1
"2004-07",26.0
"2004-08",24.7
"2004-09",23.9
"2004-10",18.1
"2004-11",10.3
"2004-12",6.5
"2005-01",4.2
"2005-02",8.5
"2005-03",10.9
"2005-04",16.3
"2005-05",20.7
"2005-06",25.6
"2005-07",26.9
"2005-08",27.2
"2005-09",25.0
"2005-10",17.5
"2005-11",12.1
"2005-12",3.8
"2006-01",8.7
"2006-02",5.4
"2006-03",12.8
"2006-04",19.6
"2006-05",22.6
"2006-06",26.7
"2006-07",30.0
"2006-08",29.9
"2006-09",21.8
"2006-10",17.1
"2006-11",11.7
"2006-12",6.4
"2007-01",2.6
"2007-02",5.7
"2007-03",15.7
"2007-04",14.1
"2007-05",21.7
"2007-06",25.2
"2007-07",27.1
"2007-08",29.0
"2007-09",24.5
"2007-10",18.6
"2007-11",11.6
"2007-12",4.0
"2008-01",4.5
"2008-02",5.6
"2008-03",11.4
"2008-04",15.3
"2008-05",21.9
"2008-06",26.7
"2008-07",28.6
"2008-08",27.3
"2008-09",21.9
"2008-10",16.3
"2008-11",10.5
"2008-12",4.2
"2009-01",2.8
"2009-02",9.0
"2009-03",12.1
"2009-04",15.2
"2009-05",19.2
"2009-06",26.8
"2009-07",28.0
"2009-08",26.2
"2009-09",21.5
"2009-10",13.1
"2009-11",12.3
"2009-12",1.7
"2010-01",2.2
"2010-02",2.6
"2010-03",9.8
"2010-04",16.6
"2010-05",20.9
"2010-06",27.4
"2010-07",28.1
"2010-08",29.5
"2010-09",24.4
"2010-10",17.3
"2010-11",10.6
"2010-12",5.0
"2011-01",2.3
"2011-02",5.2
"2011-03",12.0
"2011-04",18.1
"2011-05",20.8

Average monthly temperatures across the world

